이벤트링 전용 명장의 큐브,링명큡,0,100,50,,FALSE,불가
에픽 잠재능력 부여 주문서 100%,에잠,0,300,5,,FALSE,가능
스페셜 에디셔널 잠재능력 부여 주문서,스에잠,0,300,5,,FALSE,가능
황금 망치 100%,황망,0,60,20,,FALSE,가능
이노센트 주문서 60%,이노,0,50,20,,FALSE,가능
금빛 각인의 인장,금각,0,20,20,,FALSE,가능
스페셜 에디셔널 각인의 인장,스에각,0,30,20,,FALSE,가능
수상한 에디셔널 큐브,수에큡,0,100,30,,FALSE,가능
펫장비 공격력 스크롤 100%,펫공,0,700,10,,FALSE,가능
펫장비 마력 스크롤 100%,펫마,0,700,10,,FALSE,가능
카르마 강력한 환생의 불꽃,강환불,0,50,30,,FALSE,가능
카르마 영원한 환생의 불꽃,영환불,0,150,30,,FALSE,가능
카르마 검은 환생의 불꽃,검환불,0,250,20,,FALSE,가능
카르마 장인의 큐브,카장큡,0,100,15,,FALSE,가능
카르마 명장의 큐브,카명큡,0,150,20,,FALSE,가능
카르마 유니크 잠재능력 부여 주문서 100%,유잠,0,5000,1,,FALSE,가능
테네브리스 원정대 반지 강화 주문서,테네링,0,500,3,,FALSE,불가
어웨이크 링 전용 강화 주문서,,0,500,3,,FALSE,불가
경험치 2배 쿠폰 (15분),경쿠,0,30,168,1일 2개,TRUE,불가
의문의 모몽,,0,200,3,,FALSE,불가
몬스터 라이프 젬 7개 교환티켓,몬라젬,0,20,120,1주 10개,FALSE,불가
파워 엘릭서 100개 교환권,,0,5,-1,,TRUE,불가
텔레포트 월드맵 (1일) 교환권,,0,15,84,1일 1개,TRUE,불가
펜던트 슬롯 이용권 (7일),,0,60,12,1주 1개,TRUE,불가
성향 성장의 비약,성성비,0,300,2,,TRUE,불가
선택 슬롯 8칸 확장권,,0,100,4,,TRUE,불가
AP 초기화 주문서,,0,50,1,,TRUE,불가
SP 초기화 주문서,,0,50,1,,TRUE,불가
마스터리 북 20,마북,0,10,-1,,TRUE,불가
마스터리 북 30,마북,0,20,-1,,TRUE,불가
자유전직 코인,자전,0,500,1,,TRUE,가능
무한의 피로회복제,,0,10,84,1일 1개,TRUE,불가
캐릭터 슬롯 증가 쿠폰,,0,200,5,,FALSE,불가
레시피 8칸 가방,,0,80,1,,TRUE,불가
제작물품 8칸 가방,,0,80,1,,TRUE,불가
주문서 20칸 가방,,0,200,1,,TRUE,불가
소울 40칸 가방,,0,500,1,,TRUE,불가
코어 젬스톤,코젬,0,70,20,,FALSE,불가
경험의 코어 젬스톤,경코젬,0,1000,3,,FALSE,불가
스페셜 명예의 훈장,,0,100,15,,TRUE,불가
카오스 서큘레이터,카서큘,0,1200,5,,TRUE,불가
블랙 서큘레이터,,0,2400,3,,TRUE,불가
레전드리 서큘레이터,,0,4000,1,,TRUE,불가
아케인심볼 : 소멸의 여로,,0,20,50,,TRUE,불가
아케인심볼 : 츄츄 아일랜드,,0,20,50,,TRUE,불가
아케인심볼 : 레헬른,,0,40,50,,TRUE,불가
아케인심볼 : 아르카나,,0,40,50,,TRUE,불가
아케인심볼 : 모라스,,0,60,50,,TRUE,불가
아케인심볼 : 에스페라,,0,60,50,,TRUE,불가
선택 어센틱심볼 1개 교환권,,0,200,100,,TRUE,불가
슈퍼스타 핑크빈 안드로이드 교환권,,0,2000,1,,TRUE,불가
빈티지 코믹북 데미지 스킨,,0,1000,1,,TRUE,불가
인플루언서 의상세트 교환권,,0,2000,1,,TRUE,불가
핑크빈과 미용실 의자,,0,1000,1,,TRUE,불가
핑크빈과 팝콘 의자,,0,500,1,,TRUE,불가
브라운 베어 라이딩 (영구) 교환권,,0,1000,1,,TRUE,가능
슈퍼 인플루언서 라이딩 (영구) 교환권,,0,700,1,,TRUE,가능
데미지 스킨 상자,뎀스,0,200,-1,,TRUE,불가
선택형 직업 데미지 스킨 상자,,0,500,-1,,TRUE,불가
데미지 스킨 추출권,뎀스,0,1500,1,,FALSE,불가
의자 40칸 가방,,0,500,1,,TRUE,불가
에디셔널 큐브 교환권,,1,40,15,,FALSE,가능
카르마 놀라운 긍정의 혼돈 주문서 60%,놀긍혼,1,10,50,,FALSE,가능
카르마 강력한 환생의 불꽃(검은콩),강환불,1,5,30,,FALSE,가능
카르마 영원한 환생의 불꽃(검은콩),영환불,1,15,30,,FALSE,가능
카르마 검은 환생의 불꽃(검은콩),검환불,1,25,50,,FALSE,가능
카르마 프리미엄 펫장비 공격력 스크롤 100%,프펫공,1,500,8,,FALSE,가능
카르마 프리미엄 펫장비 마력 스크롤 100%,프펫마,1,500,8,,FALSE,가능
블랙 서큘레이터(검은콩),,1,240,5,,FALSE,가능
카르마 프리미엄 악세서리 공격력 스크롤 100%,프악공,1,500,5,,FALSE,가능
카르마 프리미엄 액세서리 마력 스크롤 100%,프악마,1,500,5,,FALSE,가능